Archivo;ID Empresa;Interno;Fecha Inicio primer turno;Hora Inicio primer turno;Minutos Inicio primer turno;Fecha cierre ultimo turno;Hora cierre ultimo turno;Minutos cierre ultimo turno;Duración;Distancia;Velocidad promedio;Cant. Trx.;Recaudacion;Reinicios;Inicio del primer turno;Cierre del último turno
TLL_0265_482_01088_0000000097_03158_20230103_230705_04.19.bin;265;1088;3/1/2023 00:00:00;17;14;3/1/2023 00:00:00;23;5;5:51:22;97,395;16,63;57;269,5;0;3/1/2023 17:14:37;3/1/2023 23:05:59
TLL_0265_482_01088_0000000097_03159_20230105_045543_04.19.bin;265;1088;5/1/2023 00:00:00;4;55;5/1/2023 00:00:00;4;55;0:00:09;0;0,00;0;0;0;5/1/2023 04:55:18;5/1/2023 04:55:27
TLL_0265_482_01088_0000000097_03160_20230105_091423_04.19.bin;265;1088;5/1/2023 00:00:00;5;36;5/1/2023 00:00:00;9;3;3:27:11;51,2;14,83;38;164,5;0;5/1/2023 05:36:26;5/1/2023 09:03:37
TLL_0265_482_01088_0000000097_03161_20230107_045906_04.19.bin;265;1088;7/1/2023 00:00:00;4;58;7/1/2023 00:00:00;4;58;0:00:16;0;0,00;0;0;0;7/1/2023 04:58:33;7/1/2023 04:58:49
TLL_0265_482_01088_0000000097_03162_20230107_051442_04.19.bin;265;1088;7/1/2023 00:00:00;5;14;7/1/2023 00:00:00;5;14;0:00:10;0;0,00;0;0;0;7/1/2023 05:14:21;7/1/2023 05:14:31
TLL_0265_482_01088_0000000097_03163_20230107_221052_04.19.bin;265;1088;7/1/2023 00:00:00;5;37;7/1/2023 00:00:00;8;54;3:16:39;51,076;15,58;13;79;0;7/1/2023 05:37:48;7/1/2023 08:54:27
TLL_0265_482_01088_0000000097_03164_20230107_221052_04.19.bin;265;1088;7/1/2023 00:00:00;8;57;7/1/2023 00:00:00;10;0;1:02:42;19,078;18,26;7;40;0;7/1/2023 08:57:35;7/1/2023 10:00:17
TLL_0265_482_01088_0000000097_03165_20230107_221053_04.19.bin;265;1088;7/1/2023 00:00:00;10;8;7/1/2023 00:00:00;13;24;3:16:23;57,344;17,52;29;244,5;0;7/1/2023 10:08:00;7/1/2023 13:24:23
TLL_0265_482_01088_0000000097_03166_20230107_221109_04.19.bin;265;1088;7/1/2023 00:00:00;13;44;7/1/2023 00:00:00;16;56;3:12:13;57,504;17,95;18;148;0;7/1/2023 13:44:38;7/1/2023 16:56:51
TLL_0265_482_01088_0000000097_03167_20230107_221126_04.19.bin;265;1088;7/1/2023 00:00:00;17;1;7/1/2023 00:00:00;18;10;1:09:36;19,079;16,45;11;49;0;7/1/2023 17:01:09;7/1/2023 18:10:45
